survey_id,survey_date,region,surveyor,household_size,monthly_income_inr,primary_water_source,sanitation_type,distance_to_water_km,satisfaction_score,survey_status,toilet_access,handwash_facility
SRV0001,2025-04-24,Delhi,Priya S.,7,14000,Hand Pump,Pit Latrine,3.4,5,Complete,Yes,No
SRV0002,2024-06-17,Delhi,Priya S.,2,44000,Borewell,Pit Latrine,1.1,5,Complete,No,Yes
SRV0003,2025-01-16,Gurugram,Meena R.,4,26000,Tap,Pit Latrine,0.9,3,Complete,Yes,Yes
SRV0004,2024-12-12,Delhi,Meena R.,7,38000,Hand Pump,Open Defecation,2.7,4,Partial,Yes,No
SRV0005,2025-04-18,Gurugram,Meena R.,2,51000,Tanker,Pit Latrine,1.2,3,Partial,Yes,Yes
SRV0006,2024-07-22,Faridabad,Meena R.,4,21000,River,Open Defecation,3.4,1,Complete,Yes,Yes
SRV0007,2024-08-23,Faridabad,Ravi T.,8,58000,Hand Pump,Pit Latrine,3.9,2,Partial,Yes,No
SRV0008,2024-12-23,Noida,Priya S.,5,33000,Borewell,Open Defecation,4.4,4,Complete,Yes,No
SRV0009,2024-08-11,Ghaziabad,Sonal B.,5,46000,Tanker,Open Defecation,2.1,2,Partial,Yes,No
SRV0010,2024-07-17,Delhi,Priya S.,5,47000,Borewell,Pit Latrine,0.4,4,Partial,No,No
SRV0011,2025-03-11,Delhi,Priya S.,4,15000,Tanker,Open Defecation,1.5,2,Partial,No,Yes
SRV0012,2024-10-13,Gurugram,Arjun K.,4,49000,Tanker,Flush Toilet,2.6,2,Partial,Yes,No
SRV0013,2024-08-22,Gurugram,Sonal B.,2,31000,Tap,Open Defecation,4.4,3,Complete,Yes,Yes
SRV0014,2024-10-02,Gurugram,Priya S.,8,42000,Tap,Community Toilet,3.9,2,Partial,No,Yes
SRV0015,2024-10-14,Gurugram,Sonal B.,8,55000,River,Pit Latrine,3.5,3,Dropout,No,No
SRV0016,2025-01-11,Gurugram,Ravi T.,4,9000,Tap,Pit Latrine,3.0,2,Complete,Yes,Yes
SRV0017,2024-07-07,Delhi,Arjun K.,2,41000,Tap,Flush Toilet,1.3,4,Partial,Yes,Yes
SRV0018,2025-03-20,Gurugram,Ravi T.,3,14000,Borewell,Community Toilet,0.6,4,Partial,No,No
SRV0019,2024-12-28,Faridabad,Priya S.,4,15000,Tap,Flush Toilet,1.3,2,Complete,No,Yes
SRV0020,2025-01-03,Ghaziabad,Meena R.,2,37000,River,Pit Latrine,4.1,5,Dropout,Yes,Yes
SRV0021,2025-04-30,Gurugram,Priya S.,5,39000,Tap,Pit Latrine,1.1,4,Complete,Yes,Yes
SRV0022,2024-12-12,Delhi,Ravi T.,7,55000,Hand Pump,Community Toilet,5.0,5,Complete,No,Yes
SRV0023,2024-09-06,Noida,Arjun K.,2,11000,Tap,Flush Toilet,3.0,5,Partial,Yes,Yes
SRV0024,2025-02-16,Delhi,Arjun K.,3,34000,Tap,Flush Toilet,0.7,5,Complete,Yes,Yes
SRV0025,2025-04-14,Delhi,Ravi T.,3,51000,Tanker,Open Defecation,3.6,2,Dropout,No,No
SRV0026,2024-08-07,Noida,Ravi T.,6,44000,Hand Pump,Flush Toilet,5.0,1,Complete,Yes,No
SRV0027,2024-08-07,Noida,Priya S.,5,43000,Borewell,Open Defecation,3.5,5,Complete,Yes,No
SRV0028,2025-05-06,Delhi,Arjun K.,7,44000,Hand Pump,Flush Toilet,0.9,3,Partial,Yes,No
SRV0029,2024-09-13,Noida,Sonal B.,8,11000,River,Open Defecation,0.6,4,Dropout,No,Yes
SRV0030,2024-06-02,Noida,Arjun K.,6,54000,Hand Pump,Pit Latrine,2.2,1,Partial,Yes,Yes
SRV0031,2025-05-20,Ghaziabad,Sonal B.,3,36000,Tap,Open Defecation,0.7,3,Partial,No,Yes
SRV0032,2024-12-01,Ghaziabad,Arjun K.,8,34000,Tap,Open Defecation,4.9,2,Partial,Yes,Yes
SRV0033,2024-08-30,Faridabad,Priya S.,5,51000,Borewell,Open Defecation,4.3,2,Partial,No,Yes
SRV0034,2025-05-26,Delhi,Ravi T.,8,38000,Tap,Community Toilet,1.8,2,Complete,Yes,Yes
SRV0035,2025-05-04,Ghaziabad,Ravi T.,8,26000,Hand Pump,Open Defecation,1.8,5,Dropout,No,No
SRV0036,2024-06-15,Delhi,Meena R.,6,36000,Borewell,Open Defecation,1.8,3,Complete,No,Yes
SRV0037,2024-12-15,Gurugram,Arjun K.,2,42000,Hand Pump,Flush Toilet,4.6,5,Partial,Yes,No
SRV0038,2025-01-07,Delhi,Meena R.,2,55000,Tanker,Open Defecation,4.5,5,Complete,No,No
SRV0039,2024-11-15,Faridabad,Meena R.,7,32000,Tanker,Pit Latrine,3.4,2,Complete,No,No
SRV0040,2025-03-08,Delhi,Meena R.,6,47000,Hand Pump,Pit Latrine,3.3,4,Complete,No,No
SRV0041,2025-05-12,Ghaziabad,Sonal B.,4,41000,River,Pit Latrine,3.4,5,Partial,No,Yes
SRV0042,2024-09-29,Noida,Arjun K.,3,39000,Borewell,Pit Latrine,3.1,1,Complete,No,No
SRV0043,2025-04-19,Gurugram,Arjun K.,3,50000,River,Community Toilet,3.5,1,Complete,No,Yes
SRV0044,2024-08-30,Gurugram,Ravi T.,2,37000,Tap,Pit Latrine,0.8,4,Dropout,No,No
SRV0045,2025-04-10,Gurugram,Ravi T.,7,39000,Tanker,Community Toilet,2.3,2,Partial,No,No
SRV0046,2025-04-17,Ghaziabad,Meena R.,3,25000,River,Flush Toilet,1.7,5,Partial,Yes,Yes
SRV0047,2024-08-17,Ghaziabad,Ravi T.,5,29000,Borewell,Pit Latrine,2.8,4,Complete,Yes,Yes
SRV0048,2025-01-02,Faridabad,Sonal B.,4,27000,Tap,Community Toilet,3.8,4,Complete,Yes,No
SRV0049,2024-09-21,Noida,Ravi T.,7,52000,River,Flush Toilet,4.0,2,Complete,No,Yes
SRV0050,2025-04-15,Gurugram,Priya S.,5,16000,River,Flush Toilet,4.3,2,Complete,Yes,No
SRV0051,2024-12-12,Noida,Arjun K.,5,26000,River,Open Defecation,3.8,4,Complete,No,Yes
SRV0052,2025-01-27,Delhi,Sonal B.,2,59000,Tap,Open Defecation,4.8,1,Complete,Yes,Yes
SRV0053,2024-09-11,Delhi,Sonal B.,7,15000,Borewell,Pit Latrine,2.9,2,Complete,No,No
SRV0054,2024-12-06,Ghaziabad,Sonal B.,3,28000,Tanker,Flush Toilet,0.6,1,Partial,No,No
SRV0055,2024-12-21,Ghaziabad,Priya S.,8,27000,Tanker,Pit Latrine,4.3,5,Complete,Yes,Yes
SRV0056,2024-11-25,Gurugram,Ravi T.,4,8000,Hand Pump,Flush Toilet,4.3,4,Complete,Yes,No
SRV0057,2024-12-03,Faridabad,Arjun K.,7,25000,River,Pit Latrine,3.1,5,Partial,No,No
SRV0058,2025-01-10,Gurugram,Meena R.,2,26000,Hand Pump,Pit Latrine,4.4,2,Partial,No,No
SRV0059,2024-11-20,Delhi,Ravi T.,4,24000,Hand Pump,Pit Latrine,1.8,5,Complete,No,Yes
SRV0060,2025-02-20,Ghaziabad,Priya S.,8,23000,Borewell,Community Toilet,3.5,4,Complete,No,Yes
SRV0061,2024-07-18,Noida,Arjun K.,6,32000,River,Pit Latrine,2.4,5,Complete,No,No
